DateTime,AddedIPs,RemovedIPs
1577250544,0,1
1577257708,1,0
1577261314,0,2
1577268527,1,1
1577279323,0,1
1577300911,2,0
1577304519,1,0
1577308122,0,1
1577311738,0,2
1577322506,14,0
1577326119,5,1
1577329728,1,0
1577333346,0,10
1577340544,1,1
1577347764,1,0
1577351340,1,2
1577354934,1,0
1577365719,1,0
1577369348,0,1
1577376561,1,0
1577380141,0,1
1577383739,1,1
1577387365,1,0
1577394529,0,1
1577398144,1,0
1577405344,0,1
1577408939,19,0
1577416157,1,1
1577419742,0,22
1577434141,1,0
1577444944,0,1
1577484548,1,0
1577488158,0,1
1577491965,8,0
1577495423,0,1
1577502549,0,11
1577506160,1,0
1577516922,1,0
1577527762,0,1
1577570962,1,0
1577578157,14,0
1577588944,0,18
1577617735,1,0
1577664553,11,0
1577671739,0,1
1577675331,0,19
1577700537,2,0
1577704137,3,0
1577711323,0,2
1577714949,0,3
1577747363,1,0
1577754546,15,0
1577758154,3,0
1577761760,1,0
1577765340,1,11
1577768937,1,1
1577772558,1,1
1577776183,1,1
1577779728,1,1
1577783343,1,1
1577786948,1,1
1577794145,0,1
1577797725,1,1
1577801347,1,0
1577804938,1,1
1577808548,1,1
1577812167,1,1
1577815742,1,1
1577819326,1,1
1577822950,1,1
1577826568,1,1
1577833746,2,0
1577837330,1,1
1577841282,8,1
1577848106,1,1
1577851726,1,9
1577855368,1,1
1577858914,1,1
1577862520,1,1
1577866115,1,1
1577873323,1,1
1577876925,1,1
1577880528,1,1
1577884135,1,1
1577887728,1,1
1577891312,1,1
1577894939,1,1
1577898534,0,1
1577902113,1,1
1577905726,1,0
1577909342,1,0
1577912914,1,1
1577916538,1,1
1577920123,0,1
1577923747,1,1
1577927330,25,1
1577934548,1,0
1577938134,0,11
1577941724,1,1
1577945314,1,1
1577952542,1,1
1577956143,2,1
1577959732,1,0
1577963317,1,2
1577966942,1,2
1577970531,0,1
1577974137,1,1
1577977720,1,1
1577981340,1,1
1577984932,0,1
1577988536,1,1
1577992150,1,1
1577999306,1,1
1578002931,0,1
1578006538,1,0
1578010145,1,1
1578013697,23,0
1578017310,0,1
1578020917,0,1
1578024530,0,25
1578096562,14,0
1578100114,1,0
1578107513,0,8
1578110923,1,1
1578121727,1,0
1578128906,1,1
1578136132,0,1
1578139698,1,0
1578143339,0,1
1578150527,1,1
1578154111,1,0
1578164943,0,1
1578168503,1,0
1578179337,1,0
1578182942,1,1
1578186534,20,0
1578190129,2,1
1578193728,1,1
1578197317,1,23
1578208120,0,1
1578211716,0,1
1578215308,1,1
1578218923,1,0
1578229726,0,1
1578233323,1,0
1578236942,1,0
1578240511,0,1
1578251332,0,1
1578254915,2,0
1578258533,1,0
1578262123,0,1
1578265734,0,2
1578269351,17,0
1578272898,2,0
1578280111,1,26
1578283730,1,0
1578287303,2,2
1578290925,1,2
1578294535,1,1
1578298103,3,1
1578301715,1,2
1578305308,1,1
1578308915,2,3
1578312504,2,1
1578316135,1,1
1578319729,2,2
1578323321,2,2
1578326902,3,2
1578330512,1,2
1578334133,1,2
1578337712,1,2
1578341306,1,1
1578344921,0,1
1578348528,2,1
1578352106,2,1
1578355747,1,0
1578359315,11,2
1578362916,1,1
1578366515,1,2
1578370146,1,21
1578373736,1,1
1578377324,1,1
1578380924,1,1
1578384569,2,1
1578388141,1,1
1578391735,0,1
1578395326,1,1
1578398921,1,0
1578402530,0,1
1578406128,1,0
1578409738,1,1
1578413317,0,2
1578416913,1,1
1578420546,1,0
1578427732,1,1
1578431348,1,1
1578438530,1,2
1578442266,17,0
1578445935,1,1
1578449405,1,1
1578452937,1,20
1578456584,1,2
1578460139,1,1
1578463727,1,1
1578467302,1,1
1578470947,2,1
1578474532,1,1
1578478126,1,1
1578481700,1,1
1578485316,1,1
1578488918,1,1
1578492518,1,1
1578496130,0,1
1578499727,0,1
1578503325,1,1
1578510521,1,0
1578514125,1,0
1578517732,0,1
1578521337,1,1
1578528611,25,1
1578532108,1,1
1578535748,1,0
1578539340,0,16
1578546515,1,0
1578550146,0,1
1578557315,0,1
1578560914,1,0
1578568124,3,0
1578571709,3,0
1578575318,1,0
1578578944,0,3
1578582520,1,2
1578586115,0,1
1578589745,1,1
1578593300,0,1
1578600518,1,1
1578607705,1,0
1578611312,0,1
1578614979,4,0
1578618514,2,0
1578622134,1,0
1578625719,0,10
1578629328,0,1
1578636543,0,1
1578640142,1,1
1578643742,1,0
1578650919,0,1
1578654559,1,0
1578661744,1,0
1578665339,1,0
1578668948,0,1
1578672523,0,1
1578683364,1,0
1578686933,1,0
1578690528,0,1
1578697736,0,1
1578701321,1,0
1578704937,25,0
1578708574,1,0
1578715749,0,18
1578726518,1,0
1578740939,1,1
1578744515,1,0
1578748139,1,1
1578751725,0,1
1578755325,1,0
1578780526,0,1
1578784133,1,1
1578791457,22,0
1578794977,1,0
1578798644,0,1
1578802182,0,28
1578809306,0,1
1578812917,1,0
1578820141,0,1
1578823733,1,0
1578827312,1,0
1578834538,1,1
1578838171,1,0
1578841747,0,1
1578845313,0,1
1578848914,1,0
1578852511,0,1
1578856129,1,0
1578859734,0,1
1578874088,0,1
1578877710,9,0
1578881336,1,0
1578884918,1,0
1578888525,1,6
1578892093,0,1
1578902931,1,0
1578906535,1,1
1578910121,0,1
1578913704,0,1
1578917321,3,0
1578920943,3,1
1578924524,1,0
1578928124,0,2
1578931732,1,2
1578935339,0,1
1578938926,0,1
1578942517,1,1
1578949738,0,1
1578956935,2,0
1578960574,23,0
1578964148,2,1
1578967759,2,0
1578971298,0,29
1578974933,1,1
1578978537,1,1
1578985751,1,1
1578989314,1,0
1578992919,1,1
1578996544,1,1
1579000121,0,1
