DateTime,AddedIPs,RemovedIPs
1575500613,0,1
1575507808,1,0
1575518620,0,1
1575525815,1,0
1575551013,0,2
1575554615,2,0
1575565420,1,0
1575569011,0,1
1575572621,1,0
1575576220,0,1
1575605019,0,1
1575619414,0,1
1575623006,1,0
1575633815,1,0
1575637412,0,1
1575641022,1,0
1575666212,0,1
1575673420,1,0
1575680607,0,1
1575684212,1,0
1575698622,0,1
1575713012,0,2
1575716619,1,0
1575720218,2,0
1575738210,0,1
1575741822,0,1
1575745409,1,0
1575749011,1,0
1575756211,0,1
1575763408,2,0
1575795823,0,1
1575803022,1,0
1575831824,0,2
1575839026,1,0
1575849794,1,0
1575857015,0,1
1575860614,1,0
1575878608,0,2
1575893013,2,0
1575932617,0,1
1575936215,1,0
1575957816,0,2
1575968598,1,0
1575979415,0,1
1575983009,1,0
1575986613,1,0
1576008221,0,1
1576011812,1,0
1576033422,0,1
1576037024,1,0
1576080216,0,2
1576083826,2,0
1576091018,0,1
1576094619,1,0
1576123411,0,1
1576127022,0,1
1576137820,2,0
1576152226,0,2
1576155811,1,0
1576173824,1,0
1576177411,1,0
1576191828,0,1
1576195425,1,1
1576217010,0,1
1576220622,1,0
1576238619,0,1
1576242203,1,1
1576249413,1,0
1576281810,0,1
1576285409,0,1
1576292617,1,0
1576296216,1,0
1576310620,0,1
1576314206,0,1
1576317816,1,1
1576325019,2,0
1576339417,0,1
1576343009,0,2
1576346605,1,0
1576350205,2,0
1576361024,0,1
1576364610,1,0
1576368220,0,1
1576371807,1,0
1576382610,0,1
1576386220,0,1
1576393421,2,0
1576407822,0,1
1576411415,0,1
1576418612,1,0
1576429414,0,1
1576433025,1,0
1576436621,1,0
1576451018,0,1
1576454605,0,1
1576465409,1,0
1576476207,0,1
1576479809,0,1
1576483408,1,0
1576487008,1,0
1576490606,1,0
1576508604,0,1
1576512213,1,0
1576523012,0,1
1576526610,0,1
1576530199,2,0
1576555421,0,1
1576562619,1,0
1576566211,0,1
1576569825,1,0
1576595017,0,1
1576598624,1,1
1576602212,0,1
1576616605,2,0
1576620225,1,0
1576634632,0,1
1576638230,0,2
1576645429,1,0
1576652626,1,0
1576677838,0,2
1576681432,2,0
1576692230,0,1
1576695822,1,0
1576703033,0,2
1576706636,0,1
1576710241,2,0
1576713805,1,0
1576728232,0,1
1576731831,1,1
1576735430,0,1
1576742632,1,0
1576753433,0,1
1576757033,1,0
1576760630,0,1
1576767832,1,0
1576775025,1,1
1576782232,0,1
1576785829,1,0
1576789427,1,0
1576793038,0,1
1576800200,0,1
1576811034,2,0
1576872234,0,1
1576875829,1,2
1576879427,1,0
1576893827,1,0
1576915424,0,1
1576919014,1,0
1576926217,0,1
1576929824,1,0
1576944218,0,2
1576947821,1,0
1576951420,0,1
1576955017,1,0
1576958622,1,0
1576973024,0,1
1576976622,1,1
1576991029,0,1
1576998223,1,0
1577009017,1,0
1577012622,0,1
1577016218,1,0
1577023422,0,2
1577027018,1,0
1577041423,1,1
1577045030,1,0
1577055823,0,1
1577073810,0,1
1577077406,1,0
1577084615,1,0
1577091802,0,1
1577095409,1,0
1577102610,0,1
1577113408,0,1
1577117007,2,0
1577120613,0,1
1577127799,1,0
1577153006,0,1
1577160227,0,1
1577163804,0,1
1577167409,1,0
1577196211,1,0
1577199810,1,0
1577210614,0,1
1577214209,1,1
1577217807,1,0
1577221407,0,1
1577225006,1,0
1577228596,0,1
1577232205,1,0
1577246612,0,2
1577257408,0,1
1577261012,2,0
1577297018,1,0
1577304212,0,1
1577307813,1,0
1577333026,0,2
1577336620,2,1
1577340225,0,1
1577343811,1,2
1577347436,1,0
1577351030,0,2
1577354626,2,0
1577358223,1,0
1577387025,0,2
1577390618,1,1
1577394217,1,1
1577397828,2,0
1577419426,0,1
1577423026,1,0
1577426638,0,1
1577430223,0,1
1577433825,0,1
1577437419,2,1
1577444626,1,0
1577491406,0,1
1577513021,1,0
1577527426,0,1
1577538231,1,0
1577549019,0,1
1577556226,1,0
1577570627,0,1
1577574226,0,1
1577577802,2,0
1577581437,0,1
1577585032,1,0
1577631835,0,1
1577635415,0,1
1577639020,1,0
1577649817,1,0
1577678632,0,1
1577696628,1,0
1577747035,0,1
1577750600,1,0
1577754240,0,1
1577765035,0,1
1577768627,2,0
1577801025,0,1
1577804630,1,0
1577808229,0,1
1577811838,1,1
1577815422,1,0
1577819032,0,1
1577826237,1,0
1577840636,0,1
1577844230,1,1
1577847815,1,0
1577858628,0,1
1577862214,0,1
1577873014,2,1
1577876608,1,0
1577909016,0,1
1577927019,1,0
1577941420,0,1
1577948614,1,0
1577977422,0,1
1577981013,1,0
1577988225,0,1
1577991830,0,1
1577995429,2,0
1578024214,0,1
1578035007,1,0
1578038608,0,1
1578045810,1,0
1578049413,0,1
1578063801,1,1
1578081803,1,0
1578132213,0,1
1578135818,1,0
1578157419,0,2
1578164627,1,0
1578168215,4,4
1578182618,5,0
1578211416,0,1
1578215008,1,0
1578233010,0,1
1578240216,0,4
1578243816,0,1
1578254611,2,1
1578258218,1,0
1578269020,4,0
1578287008,0,4
1578290621,4,0
1578305014,0,5
1578308600,4,1
1578312210,1,0
1578323018,1,4
1578333817,0,1
1578337410,0,1
1578341013,1,0
1578348215,1,1
1578355426,5,2
1578369830,0,2
1578377024,1,0
1578402230,0,1
1578409419,0,1
1578413022,1,0
1578427428,1,1
1578431029,1,0
1578449036,0,1
1578459819,0,1
1578463418,2,3
1578477818,0,1
1578488620,0,3
1578492229,2,1
1578495814,2,1
1578499417,1,0
1578524616,0,1
1578528230,1,0
1578531803,0,1
1578535417,1,0
1578557012,0,1
1578560611,0,4
1578567808,1,0
1578575013,1,1
1578578614,1,0
1578582214,0,1
1578589420,1,0
1578593010,4,0
1578603814,0,1
1578611012,1,0
1578639828,0,1
1578654227,0,1
1578672225,3,0
1578675822,1,0
1578693829,0,4
1578697421,4,0
1578722613,0,4
1578729827,0,1
1578733426,5,0
1578773020,0,1
1578776624,1,0
1578798221,0,5
1578801810,1,1
1578812614,5,0
1578819832,1,0
1578827022,0,4
1578841420,4,0
1578845019,0,1
1578855817,0,4
1578870203,4,0
1578881012,1,0
1578899002,0,4
1578906212,0,1
1578909810,0,1
1578913410,5,0
1578927811,0,1
1578931416,2,0
1578935012,3,1
1578938611,1,1
1578945821,1,1
1578953000,0,4
1578960227,5,0
1578978217,0,4
1578989009,4,1
1578999814,1,0
